id,trialid,source_register,date_registration,date_enrollement,retrospective_registration,normed_spon_names,recruitment_status,phase,study_type,countries,public_title,study_category,intervention,intervention_list,target_enrollment,web_address,cross_registrations,trial_status,pcd_auto,scd_auto,rcd_auto,tabular_results,potential_other_results,registry_scraped,is_intervention,is_reg_2020,is_not_withdrawn,is_eligible_study,is_rcd_cutoff_1,has_auto_reg_results_cutoff_1,is_searched_cutoff_1,is_clinical_trial_manual,is_covid_manual,rcd_manual,pcd_manual,scd_manual,cross_reg_source_1,cross_reg_1,cross_reg_registry_1,comments,cross_reg_source_2,cross_reg_2,cross_reg_registry_2,is_not_withdrawn_manual,is_rcd_cutoff_1_manual,is_analysis_pop_cutoff_1
tri00215,ChiCTR2000030333,ChiCTR,2020-02-28,2020-03-04,FALSE,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Interventional,China,"A randomized, open-label controlled trial for the efficacy and safety of Pirfenidone in patients with severe and critical novel coronavirus pneumonia (COVID-19)",Drug,Pirfenidone,Pirfenidone,292,http://www.chictr.org.cn/showproj.aspx?proj=48801,None,Recruiting,NA,2020-07-07,2020-07-07,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
tri00267,NCT04282902,ClinicalTrials.gov,2020-02-10,2020-02-04,TRUE,Huilan Zhang,Recruiting,Phase 3,Interventional,China,A Study to Evaluate the Efficacy and Safety of Pirfenidone With Novel Coronavirus Infection,Drug,Pirfenidone,Pirfenidone,294,https://clinicaltrials.gov/show/NCT04282902,None,Recruiting,2020-04-30,2020-06-01,2020-04-30,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2020-06-01,2020-04-30,2020-06-01,reg,ChiCTR2000030333,ChiCTR,NA,NA,NA,NA,TRUE,TRUE,TRUE
tri00650,EUCTR2020-001236-10-NL,EU Clinical Trials Register,2020-03-31,2020-03-31,FALSE,UMC Amsterdam,Authorised,Phase 2,Interventional,Netherlands,Countering Lung Damage in COVID-19 infection: the CounterCovid Study,Drug,Imatinib,Imatinib,304,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001236-10,None,['Ongoing'],NA,NA,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tri00675,NCT04330586,ClinicalTrials.gov,2020-03-31,2020-04-01,FALSE,Korea University Guro Hospital,Not Recruiting,Phase 2,Interventional,No Country Given,A Trial of Ciclesonide in Adults With Mild COVID-19,Drug,Ciclesonide + hydroxychloroquine vs. hydroxychloroquine,Ciclesonide; hydroxychloroquine,141,https://clinicaltrials.gov/show/NCT04330586,None,Not yet recruiting,2020-06-30,2020-09-30,2020-06-30,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,2021-04-16,2021-04-16,2021-04-16,reg,KCT0005105,CRiS,Registry completion date from Korean Registry (2021-04-16),NA,NA,NA,TRUE,FALSE,TRUE
tri00706,ChiCTR2000031734,ChiCTR,2020-04-08,2020-03-19,TRUE,Huo-Shen-Shan Hospital,Recruiting,Not Applicable,Interventional,China,"Evaluation Danorevir sodium tablets combined with ritonavir in the treatment of novel Coronavirus Pneumonia (COVID-19): a randomized, open-label, controlled trial",Drug,Danorevir + ritonavir,Danorevir; ritonavir,40,http://www.chictr.org.cn/showproj.aspx?proj=52103,None,Recruiting,NA,2020-05-29,2020-05-29,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,2020-05-29,NA,2020-05-29,reg,NCT04345276,ClinicalTrials.gov,NA,NA,NA,NA,TRUE,TRUE,TRUE
tri00717,EUCTR2020-001335-28-NL,EU Clinical Trials Register,2020-03-27,2020-03-29,FALSE,InflaRx GmbH,Authorised,Phase 2/Phase 3,Interventional,Netherlands,An open label phase II/III study of IFX-1 in patients with severe COVID-19 Pneumonia,Drug,IFX-1,IFX-1,130,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001335-28,None,"['Ongoing', 'Ongoing']",NA,NA,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tri00846,EUCTR2020-001254-22-BE,EU Clinical Trials Register,2020-03-24,2020-03-24,FALSE,"University Hospital, Ghent",Authorised,Phase 4,Interventional,Belgium,Sargramostim in patients with acute hypoxic respiratory failure due to COVID-19,Drug,Sargramostin,Sargramostin,80,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001254-22,None,['Ongoing'],NA,NA,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tri00919,NCT04333420,ClinicalTrials.gov,2020-04-01,2020-03-31,TRUE,InflaRx GmbH,Recruiting,Phase 2/Phase 3,Interventional,Netherlands,"Open-label, Randomized Study of IFX-1 in Patients With Severe COVID-19 Pneumonia",Drug,IFX-1,IFX-1,130,https://clinicaltrials.gov/show/NCT04333420,EUCTR2020-001335-28,Recruiting,2020-10-31,2020-12-31,2020-10-31,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
tri01092,NCT04326920,ClinicalTrials.gov,2020-03-24,2020-03-24,FALSE,"University Hospital, Ghent",Recruiting,Phase 4,Interventional,"Belgium, Italy",Sargramostim in Patients With Acute Hypoxic Respiratory Failure Due to COVID-19 (SARPAC),Drug,Sargramostim,Sargramostim,80,https://clinicaltrials.gov/show/NCT04326920,None,Recruiting,2020-10-31,2020-12-31,2020-10-31,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2021-03-31,2021-01-31,2021-03-31,reg,EUCTR2020-001254-22,EudraCT,protocol: https://doi.org/10.1186/s13063-020-04451-7,NA,NA,NA,TRUE,FALSE,FALSE
tri01274,EUCTR2020-001345-38-GR,EU Clinical Trials Register,2020-03-31,2020-04-02,FALSE,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.,Authorised,Phase 2,Interventional,Greece,CHROLOQUINE PHOSPHATE AGAINST INFECTION BY THE NOVEL CORONAVIRUS,Drug,Chloroquine,Chloroquine,60,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001345-38,None,['Ongoing'],NA,NA,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tri01400,EUCTR2020-001370-30-GB,EU Clinical Trials Register,2020-04-15,2020-04-28,FALSE,Novartis Pharmaceuticals,Authorised,Phase 3,Interventional,"United States, United Kingdom, Italy, France, Germany, Spain",Study of efficacy and safety of canakinumab treatment for CRS in participants with COVID-19-induced pneumonia.,Drug,Canakinumab,Canakinumab,450,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001370-30,None,"['Ongoing', 'Ongoing', 'Ongoing', 'Ongoing', 'Ongoing', 'Ongoing']",NA,NA,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tri01500,NCT04349098,ClinicalTrials.gov,2020-04-14,2020-04-17,TRUE,Karyopharm Therapeutics Inc,Recruiting,Phase 2,Interventional,"United States, United Kingdom, France, Austria, Israel, Spain",Evaluation of Activity and Safety of Oral Selinexor in Participants With Severe COVID-19 Infection,Drug,Selinexor,Selinexor,230,https://clinicaltrials.gov/show/NCT04349098,EUCTR2020-001411-25,Recruiting,2020-08-31,2020-08-31,2020-08-31,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
tri01750,CTRI/2020/04/024846,CTRI,2020-04-24,2020-04-30,FALSE,Cadila Pharnmaceuticals,Recruiting,Not Applicable,Interventional,India,A Clinical Trial of Mycobacterium w in Critically Ill COVID 19 Patients,Drug,Mycobacterium,Mycobacterium,40,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=43004,None,Open to Recruitment,NA,NA,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tri01805,NCT04346199,ClinicalTrials.gov,2020-04-09,2020-05-11,TRUE,AstraZeneca,Not Recruiting,Phase 2,Interventional,"Italy, Spain, France",Acalabrutinib Study With Best Supportive Care Versus Best Supportive Care in Subjects Hospitalized With COVID-19.,Drug,Acalabrutinib,Acalabrutinib,140,https://clinicaltrials.gov/show/NCT04346199,PER-018-20; EUCTR2020-001644-25,Not yet recruiting,2020-11-30,2020-11-30,2020-11-30,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
tri01822,NCT04379271,ClinicalTrials.gov,2020-05-01,2020-05-01,TRUE,Immunic AG,Not Recruiting,Phase 2/Phase 3,Interventional,No Country Given,"A Study to Evaluate the Efficacy, Safety and Tolerability of IMU-838 as Addition to Investigator's Choice of Standard of Care Therapy, in Patients With Coronavirus Disease 19 (COVID-19)",Drug,Vidofludimus calcium,Vidofludimus calcium,230,https://clinicaltrials.gov/show/NCT04379271,EUCTR2020-001264-28,Recruiting,2020-09-01,2020-10-01,2020-09-01,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
tri02222,EUCTR2020-001644-25-FR,EU Clinical Trials Register,2020-04-11,2020-05-06,FALSE,Acerta Pharma B.V.,Authorised,Phase 2,Interventional,"United States, Italy, Spain, France",A Phase 2 Randomized Study of the Efficacy and Safety of Acalabrutinib with Best Supportive Care Versus Best Supportive Care in Subjects Hospitalized with COVID-19,Drug,Acalabrutinib,Acalabrutinib,428,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001644-25,None,"['Ongoing', 'Ongoing', 'Ongoing', 'Ongoing']",NA,NA,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tri02227,EUCTR2020-001497-30-FR,EU Clinical Trials Register,2020-04-28,2020-05-12,FALSE,Alexion Pharmaceuticals,Authorised,Phase 3,Interventional,"United States, United Kingdom, Italy, France, Germany, Spain",ravulizumab for the treatment of patients with Coronavirus Disease 2019,Drug,Ravulizumab,Ravulizumab,270,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001497-30,None,"['Ongoing', 'Ongoing', 'Ongoing']",NA,NA,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tri02229,EUCTR2020-001870-32-DK,EU Clinical Trials Register,2020-05-05,2020-05-15,FALSE,Novartis Pharmaceuticals,Authorised,Phase 2,Interventional,"Denmark, Hungary","Study to assess efficacy and safety of DFV890 in patients with COVID-19 pneumonia and impaired respiratory function
",Drug,DFV890,DFV890,120,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001870-32,None,"['Ongoing', 'Ongoing']",NA,NA,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tri02448,NCT04322123,ClinicalTrials.gov,2020-03-24,2020-04-01,FALSE,Hospital do Coração,Not Recruiting,Phase 3,Interventional,Brazil,Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-Cov-2 Virus (COVID-19),Drug,Hydroxychloroquine + Azithromycin vs. Hydroxychloroquine,Hydroxychloroquine; azithromycin,630,https://clinicaltrials.gov/show/NCT04322123,None,"Active, not recruiting",2020-08-30,2020-08-30,2020-08-30,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
tri02458,NCT04344951,ClinicalTrials.gov,2020-04-06,2020-04-06,FALSE,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.,Recruiting,Phase 2,Interventional,Greece,"Chloroquine Phosphate Against Infection by the Novel Coronavirus SARS-CoV-2 (COVID-19): The HOPE Open-Label, Non Randomized Clinical Trial",Drug,Chloroquine,Chloroquine,60,https://clinicaltrials.gov/show/NCT04344951,None,Recruiting,2021-04-01,2021-04-30,2021-04-01,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2021-04-30,2021-04-01,2021-04-30,reg,EUCTR2020-001345-38,EudraCT,NA,NA,NA,NA,TRUE,FALSE,FALSE
tri02570,NCT04345276,ClinicalTrials.gov,2020-04-10,2020-03-18,TRUE,Huo-Shen-Shan Hospital,Not Recruiting,Phase 4,Interventional,China,Efficacy and Safety of Ganovo (Danoprevir) Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection,Drug,Danoprevir + Ritonavir,Danoprevir; Ritonavir,10,https://clinicaltrials.gov/show/NCT04345276,None,Completed,2020-04-15,2020-04-15,2020-04-15,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,2020-04-15,2020-04-15,2020-04-15,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
tri02652,NCT04417335,ClinicalTrials.gov,2020-05-25,2020-04-16,TRUE,Radboud University,Not Recruiting,Phase 4,Interventional,Netherlands,Reducing COVID-19 Related Hospital Admission in Elderly by BCG Vaccination,ATMP,Vaccine,Vaccine,2014,https://clinicaltrials.gov/show/NCT04417335,EUCTR2020-001591-15,"Active, not recruiting",2021-05-01,2021-05-01,2021-05-01,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
tri02676,EUCTR2020-001411-25-GB,EU Clinical Trials Register,2020-04-06,2020-04-24,FALSE,Karyopharm Therapeutics Inc,Authorised,Phase 2,Interventional,"Canada, Belgium, Australia, United States, United Kingdom, Italy, France, Germany, Malaysia, Austria, Israel, Spain, India",Low Dose Oral Selinexor in Patients with Severe COVID-19 Infection,Drug,Selinexor,Selinexor,300,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001411-25,None,"['Ongoing', 'Ongoing', 'Ongoing', 'Ongoing']",NA,NA,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tri02678,EUCTR2020-001264-28-HU,EU Clinical Trials Register,2020-05-14,2020-05-28,FALSE,Immunic AG,Authorised,Phase 2/Phase 3,Interventional,"Bulgaria, United States, Hungary, Germany, Romania, Greece, Serbia",A study to investigate whether the experimental medication IMU-838 is safe and effective when it is given to Covid-19 patients in addition to their normal treatment,Drug,Vidofludimus calcium,Vidofludimus calcium,200,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001264-28,None,"['Ongoing', 'Ongoing', 'Ongoing', 'Ongoing']",NA,NA,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tri02850,KCT0005105,CRIS,2020-06-10,2020-04-08,TRUE,Koera University Guro Hospital,Recruiting,Phase 2,Interventional,South Korea,A Trial of Ciclesonide in Adults with Mild COVID-19,Drug,Ciclesonide,Ciclesonide,141,http://cris.nih.go.kr/cris/en/search/search_result_st01.jsp?seq=16795,None,Recruiting,2021-04-16,2021-04-16,2021-04-16,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
tri02901,RBR-9d8z6m,REBEC,2020-03-27,2020-03-30,FALSE,Hospital do Coração,Not Recruiting,Phase 3,Interventional,Brazil,Safety and Efficacy of Hydroxychloroquine Associated With Azythromycin in SARS-Cov-2 Virus,Drug,Hydroxychloroquine + Azithromycin vs. Hydroxychloroquine,Hydroxychloroquine; Azithromycin,630,http://www.ensaiosclinicos.gov.br/rg/RBR-9d8z6m/,None,Recruitment completed,NA,NA,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,TRUE,TRUE,2020-05-18,NA,2020-05-18,pub,NCT04322123,ClinicalTrials.gov,NA,NA,NA,NA,TRUE,TRUE,NA
tri03045,NCT04347174,ClinicalTrials.gov,2020-03-31,2020-04-30,FALSE,Cadila Pharnmaceuticals,Recruiting,Not Applicable,Interventional,India,A Clinical Trial of Mycobacterium w in Critically Ill COVID 19 Patients,Drug,Mycobacterium,Mycobacterium,40,https://clinicaltrials.gov/show/NCT04347174,None,Recruiting,2020-06-30,2020-07-30,2020-06-30,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,2020-08-21,2020-08-10,2020-08-21,reg,CTRI/2020/04/024846,CTRI,NA,NA,NA,NA,TRUE,FALSE,TRUE
tri03057,NCT04362813,ClinicalTrials.gov,2020-04-24,2020-04-30,TRUE,Novartis Pharmaceuticals,Recruiting,Phase 3,Interventional,"United States, United Kingdom, Italy, France, Germany, Russian Federation, Spain",Study of Efficacy and Safety of Canakinumab Treatment for CRS in Participants With COVID-19-induced Pneumonia,Drug,Canakinumab,Canakinumab,450,https://clinicaltrials.gov/show/NCT04362813,EUCTR2020-001370-30,Recruiting,2020-07-31,2020-11-06,2020-07-31,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
tri03184,EUCTR2020-001411-25-DE,EU Clinical Trials Register,2020-04-01,2020-05-18,FALSE,Karyopharm Therapeutics Inc,Authorised,Phase 2,Interventional,"Canada, Belgium, Australia, United States, United Kingdom, Italy, France, Germany, Malaysia, Austria, Israel, Spain, India",A Phase 2 Randomized Single-Blind Study to Evaluate the Activity and Safety of Low Dose Oral Selinexor (KPT-330) in Patients with Severe COVID-19 Infection,Drug,Selinexor,Selinexor,230,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001411-25,None,"['Ongoing', 'Ongoing', 'Ongoing', 'Ongoing']",NA,NA,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tri03191,EUCTR2020-001497-30-GB,EU Clinical Trials Register,2020-04-27,2020-05-07,FALSE,Alexion Pharmaceuticals,Authorised,Phase 3,Interventional,"United States, United Kingdom, Italy, France, Germany, Spain",ravulizumab for the treatment of patients with Coronavirus Disease 2019,Drug,Ravulizumab,Ravulizumab,270,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001497-30,None,"['Ongoing', 'Ongoing', 'Ongoing']",NA,NA,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tri03212,NCT04382053,ClinicalTrials.gov,2020-05-08,2020-05-27,TRUE,Novartis Pharmaceuticals,Recruiting,Phase 2,Interventional,"Denmark, Hungary, Germany",Study of Efficacy and Safety of DV890 in Patients With COVID-19 Pneumonia,Drug,DFV890,DFV890,120,https://clinicaltrials.gov/show/NCT04382053,EUCTR2020-001870-32,Recruiting,2020-11-30,2020-11-30,2020-11-30,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
tri03295,NCT04335136,ClinicalTrials.gov,2020-04-01,2020-04-30,TRUE,Apeiron Biologics,Recruiting,Phase 2,Interventional,"Denmark, Austria, Germany",Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19,Drug,ACE enzyme,ACE enzyme,200,https://clinicaltrials.gov/show/NCT04335136,EUCTR2020-001172-15,Recruiting,2020-09-01,2020-11-01,2020-09-01,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
tri03693,EUCTR2020-001172-15-DE,EU Clinical Trials Register,2020-03-23,2020-04-08,FALSE,Apeiron Biologics,Authorised,Phase 2,Interventional,"Denmark, United States, United Kingdom, Germany, Russian Federation, Austria",Recombinant human angiotensin-converting enzyme 2 (rhACE2) as a treat-ment for patients with COVID-19,Drug,ACE enzyme,ACE enzyme,200,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001172-15,None,"['Ongoing', 'Ongoing', 'Ongoing', 'Ongoing']",NA,NA,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tri03724,NL8547,Netherlands Trial Register,2020-04-22,2020-04-16,TRUE,Radboud University Medical Centre,Recruiting,Not Applicable,Interventional,Netherlands,"REDUCING HOSPITAL ADMISSION OF ELDERLY IN SARS-CoV-2 PANDEMIC VIA THE INDUCTION OF TRAINED IMMUNITY BY BACILLUS CALMETTE-GUÉRIN VACCINATION, A RANDOMIZED CONTROLLED TRIAL",ATMP,Vaccine,Vaccine,1600,https://trialregister.nl/trial/8547,EUCTR2020-001591-15,Open for patient inclusion,NA,2022-04-18,2022-04-18,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
tri03742,NL8491,Netherlands Trial Register,2020-03-31,2020-03-31,FALSE,UMC Amsterdam,Recruiting,Not Applicable,Interventional,Netherlands,Countering Lung Damage in COVID-19 infection (CounterCovid) study,Drug,Imatinib,Imatinib,386,https://trialregister.nl/trial/8491,None,Open for patient inclusion,NA,2020-06-30,2020-06-30,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,2020-06-30,NA,2020-06-30,reg,EUCTR2020-001236-10-NL,EudraCT,NA,NA,NA,NA,TRUE,TRUE,TRUE
